taxa,palatine bone,rib,vomer,cleithrum,coracoid bone,scapulocoracoid,vomerine tooth,optic canal,scapula cartilage element,scapula pre-cartilage condensation,scapula,dermal scale,pectoral girdle bone,pelvic girdle bone/zone,pectoral fin skeleton,pelvic fin skeleton,maxillary tooth,dentary tooth,coronoid bone,ectopterygoid bone,scapula endochondral element,suprapreopercle,antorbital,interhyal bone,quadrate ventral process,lateral ethmoid bone,mesocoracoid bone,metapterygoid,adipose fin,preopercle horizontal limb,gill raker,hypobranchial bone,postcleithrum,supraneural bone,urohyal,pelvic fin radial bone,posttemporal,supracleithrum,uroneural,basipterygium bone,entopterygoid,extrascapula,interopercle,symplectic,entopterygoid vertical strut,dorsal fin proximal radial bone,hypurapophysis,dorsal scute,supraneural 3 bone,basibranchial 1 bone,basibranchial 2 bone,basibranchial 3 bone,hypobranchial 1 bone,hypobranchial 3 bone,hypobranchial 2 bone,epibranchial 5 cartilage,pharyngobranchial 2 bone,pharyngobranchial 4 cartilage,pharyngobranchial 3 bone,coronomeckelian,infraorbital 4,dorsal fin pterygiophore,epiphyseal bar,interhyal cartilage,hypobranchial cartilage,hypobranchial 1 cartilage,hypobranchial 2 cartilage,hypobranchial 3 cartilage,pharyngobranchial 2 cartilage,mesocoracoid cartilage,basipterygium cartilage,abdominal scute,caudal procurrent ray,pectoral fin radial bone,pectoral fin proximal radial bone,pectoral fin distal radial bone,lateral ethmoid palatine process,quadrate dorsal process,dorsal fin middle radial bone,anal fin middle radial bone,sphenotic spine,lateral ethmoid wing,premaxillary tooth,pharyngobranchial 1 cartilage,pharyngobranchial 1 bone,pharyngobranchial 4 bone,pharyngobranchial 3 tooth plate,dorsal fin radial bone,mesethmoid cornu,posterior cartilage of palatine,posterior process of basipterygium,rib of vertebra 6,rib of vertebra 5,pre-narial cartilage,dorsal fin lepidotrichium 2,dorsal fin lepidotrichium 3,pectoral fin lepidotrichium 1,pectoral fin lepidotrichium 2,pelvic fin lepidotrichium 1,pelvic fin lepidotrichium 6,supraoccipital crest,branched dorsal fin ray,unbranched dorsal fin ray,pectoral fin spine,pelvic splint,dorsal fin spine 1,dorsal fin spine 2,epibranchial 2 bone uncinate process,nuchal plate,anterior nuchal plate,middle nuchal plate,dorsal fin proximal radial bone 1,dorsal fin proximal radial bone 2,posterior nuchal plate,epibranchial 4 bone uncinate process,urohyal lateral process,urohyal median process,basibranchial 1 cartilage,supraneural 3 cartilage,basibranchial 2 cartilage,rib of vertebra 2,rib of vertebra 1,interhyal element,hypobranchial element,hypobranchial 1 element,hypobranchial 2 element,hypobranchial 3 element,pharyngobranchial 1 element,pharyngobranchial 2 element,pharyngobranchial 4 element,basibranchial 1 element,basibranchial 2 element,epioccipital posterior process,accessory vomerine tooth plate,rostral plate,hypobranchial 1 bone distal cartilage,hypobranchial 2 bone distal cartilage,epibranchial 5 element,mandibular-hyoid median cartilage,lateral bone,branched pectoral fin ray,posttemporal-supracleithrum,posterior cleithral process,posterior dentation of pectoral fin spine,anterior dentation of pectoral fin spine,anterior distal serration of pectoral fin spine,posterior dentation of dorsal fin spine 2,canal plate,supraneural 4 bone,pterotic-posttemporal-supracleithrum,pectoral fin proximal radial bone 1,pectoral fin proximal radial bone 2,pectoral fin proximal radial bone 3,pectoral fin proximal radial bone 4,ventral keel of coracoid,bony plate,branched caudal fin ray,distal cartilage of posterior process of basipterygium,internal anterior process of basipterygium,distal cartilage of internal anterior process of basipterygium,middle anterior process of basipterygium,external anterior process of basipterygium,distal cartilage of external anterior process of basipterygium,lateral process of basipterygium,lateropterygium,dorsal fin pterygiophore 1,dorsal fin spine,pectoral fin distal radial bone 2,pectoral fin distal radial bone 3,pelvic fin radial element,basipterygium element,dorsal fin proximal radial element,pectoral fin radial element,pectoral fin proximal radial element,pectoral fin distal radial element,dorsal fin middle radial element,dorsal fin radial element,dorsal fin proximal radial element 1,dorsal fin proximal radial element 2,pectoral fin proximal radial element 1,pectoral fin proximal radial element 2,pectoral fin proximal radial element 3,pectoral fin proximal radial element 4,pectoral fin distal radial element 2,pectoral fin distal radial element 3,dorsal fin proximal radial cartilage,pectoral fin radial cartilage,pectoral fin proximal radial cartilage,pectoral fin distal radial cartilage,dorsal fin middle radial cartilage,dorsal fin radial cartilage,dorsal fin proximal radial cartilage 1,dorsal fin proximal radial cartilage 2,pectoral fin proximal radial cartilage 1,pectoral fin proximal radial cartilage 2,pectoral fin proximal radial cartilage 3,pectoral fin proximal radial cartilage 4,pectoral fin distal radial cartilage 2,pectoral fin distal radial cartilage 3,dorsal fin skeleton,pelvic fin lepidotrichium,pectoral fin lepidotrichium,dorsal fin lepidotrichium,mesocoracoid element,pectoral fin radial skeleton,pelvic fin radial skeleton
Auchenipterichthys longimanus,NA,1,NA,1,1,1,0,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Trachelyichthys exilis,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,NA,NA,NA,1,1,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
Trachelyichthys decaradiatus,NA,1,NA,1,1,1,0,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,0,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Trachelyichthys n. sp 1 (Royero 1999),NA,1,NA,1,1,1,0,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,0,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Ageneiosus sp. 3 (Mo 1991),NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,1,0,1,1,NA,1,1,NA,1,1,0,1,1,NA,1,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA
Ageneiosus sp. 1 (Mo 1991),NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,1,0,1,1,NA,1,1,NA,1,1,0,1,1,NA,1,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA
Ageneiosus cf. guianensis (Mo 1991),NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,1,0,1,1,NA,1,1,NA,1,1,0,1,1,NA,1,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA
Ageneiosus sp. (de Pinna 1993),NA,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,NA,NA,NA,1,1,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
Ageneiosus sp. 2 (Mo 1991),NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,1,0,1,1,NA,1,1,NA,1,1,0,1,1,NA,1,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA
Ageneiosus pardalis,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,NA,NA,NA,1,1,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
Ageneiosus magoi,NA,1,NA,1,1,1,0,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Epapterus blohmi,NA,1,1,1,NA,NA,0,1,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,1,1,NA,1,1,1,1,0,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,0,0,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,1,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Genus sp. 1 (Royero 1999),NA,1,NA,1,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Gelanoglanis stroudi,NA,1,1,1,1,1,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Asterophysus batrachus,NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,1,0,NA,1,1,1,1,0,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,0,0,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Liosomadoras oncinus,NA,1,1,1,NA,NA,0,1,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,1,1,0,1,1,1,1,1,0,NA,1,1,1,1,0,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,0,0,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,1,1,1,0,0,1,1,1,0,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA
Liobagrus cf. marginatus (Mo 1991),NA,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,1,1,0,1,NA,0,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,NA,NA,1,0,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA
Liobagrus formosanus,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,1,0,NA,NA,1,1,NA,1,NA,0,0,1,NA,NA,NA,1,1,1,1,NA,1,1,0,1,1,0,1,1,1,NA,1,NA,NA,NA,NA,NA,1,0,0,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA
Paracetopsis bleekeri,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,1,NA,1,NA,1,NA,1,0,NA,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,0,0,0,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA
Paracetopsis esmeraldas,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,1,0,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA
Cetopsis othonops,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,1,0,NA,1,1,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,0,1,1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA
